事故编号(序号),事故发生时间,星期,事故地点,桩号,事故类型1,事故类型2,死亡人数,重伤人数,受伤人数,直接财产损失（元）,交通中断时间,天气,道路线型,路口路段类型,事故形态,事故认定原因,交通方式 涉事车辆1,交通方式 涉事车辆2（两车事故填）,交通方式 其它涉事车辆（多车事故时手填）,路表情况,路侧防护设施类型,案情简要
11,30:00.0,2,G85银昆高速下行线K1729+950M,1729950,财产损失事故,多车事故,0,0,0,4860,22:30-06:39,阴,一般弯,桥梁,正面相撞,制动不当,大型货车,大型货车,大型货车,潮湿,防撞墙,2020年2月18日00时30分，上高桥隧管所当班人员对辖区进行融雪剂撒布作业，撒布至上行线K1728+000处发现下行线发生一起交通事故，当班人员随融雪撒布车到北闸隧管所用巡查车辆云A8GS13装载12包融雪剂赶赴现场，于2020年2月18日00时40分赶至下行线K1729+950处发现一起车辆侧翻单方肇事交通事故，该路段已被交警于2020年2月17日23时23分在下行线北闸隧道进口端K1733+400处进行交通管制，当班人员立即对该肇事事故进行了解及配合路政进行现场勘察，肇事车辆为：大型货车，车牌为（川F.98RS3两轴，驾驶员黄文怀15282809008），由于车辆撞向中央防撞墙导致侧翻于超车道及行车道上，占用应急车道，行车道、超车道。现场无人员受伤；有路产损失；现场有路产损失（防眩板损坏27块，路面刮痕有3处，（1）长12.5米（2）长1.6米，宽0.2米，（3）长1.6米。），无人员伤亡，占用应急车道，行车道、超车道。该事故于06时46分处理完毕，肇事车辆全部托走。
12,2020/2/22 11:02,6,银昆高速公路下行线K1677+580,1677580,轻微事故,单车事故,0,0,0,1575,无,晴,平直,隧道,撞固定物,爆胎,小型客车,,无,干燥,其他防护设施,2020年2月22日11时02分，当班巡查人员开展日常巡查，巡查至下行线小岩脚隧道K1677+580处，发现一辆小车（云CC2009）爆胎导致与右侧检修道碰撞，巡查人员立即摆放锥桶警示过往车辆，联系交警、路政部门及施救单位，并上报相关科室及监控中心，现场无人员伤亡，有路产损失，占用行车道，超车道可正常通行。11时25分交警、路政部门到达现场处理，11时52分施救车辆到达现场对事故车辆拖离。12时00分事故车辆已拖离，收回摆放锥桶，道路恢复正常通行。
13,25:00.0,3,G85银昆高速上行线K1728+600M,1728600,财产损失事故,单车事故,0,0,0,3800,无,晴,一般弯,桥梁,翻车,转向不当,小型客车,,,干燥,防撞墙,2020年2月26日12时25分上高桥隧管所接交警通知上行线桥梁群附近发生交通事故，当班人员于12时40分赶赴现场，发现一辆车牌为川KM666的轿车在辖区上行线K1728+600处发生侧翻，占用应急车道及行车道，超车道缓慢通行，现场无人员受伤。当班人员于12时40分赶赴现场后立即摆放安全警示锥桶，有路产损失及路面污染并通知路政和保洁人员；同时上报安全养护室领导（李剑、钟生茂），经领导回复：车流较大做好自身安全，疫情严重做好自我防护工作并配合交警路政处理好现场。拖车于13时47分施救完毕，当班人员组织保洁人员对路面垃圾、油污进行清扫，该事故无人员伤亡，造成路产：造成路产桥梁防撞墙损坏1.7米，宽0.07米；路面垃圾长15米，宽4米，60平方；路面油污长2.2米，宽0.7米，共计2平方。于14时07分道路回复正常通行。共计用时1小时27分
14,20:00.0,5,G85银昆高速上行线K1706+950M,1706950,轻微事故,多车事故,0,0,0,,无,阴,一般坡,隧道,尾随相撞,未与前方车辆保持安全距离,小型客车,小型客车,小型客车,干燥,防撞墙,"2020年2月28日13时20分上高桥隧管所巡查人员巡查至上行线上高桥隧管所K1706+950处，发现一起4车追尾交通事故，我所当班人员立即摆放安全警示锥桶，并联系交警部门处理。经对事故进行了解得知,由于驾驶员杨永三、驾驶云L7N138车辆与前车渝A3ZY57发生追尾事故、导致渝A3ZY57与前车云AU69C1追尾；云AU69C1与前车云C96V58追尾事故,占用超车道、行车道正常通行，悦乐收费站至上高桥收费站之间，无人员伤亡、无路产损失。已上报监控中心、上报安全养护室（李剑、 钟生茂）。领导回复：由于车辆量较大，注意自身安全，协助交警部门处理事故。于2020年2月28日14时05分事故处理完毕，道路恢复正常通行"
15,2020/2/29 0:58,6,银昆高速公路下行线K1677+330,1677330,轻微事故,单车事故,0,0,0,,无,晴,平直,普通路段,撞固定物,疲劳驾驶,小型客车,,,干燥,防撞墙,2020年2月29日00时58分下行线K1677+330处发生一起单方肇事交通事故。（一辆轿车（云A0A04D）因疲劳驾驶与左侧防撞挡墙发生轻微碰撞，现场无人员伤亡，无路产损失，占用行车道和应急车道，超车道可正常通行，巡查人员立即摆放锥桶警示过往车辆，联系交警、路政部门及施救单位，并上报相关科室及监控中心，现场无人员伤亡，有路产损失，占用行车道，超车道可正常通行。1时10分交警部门到达现场处理，2时10分施救车辆到达现场对事故车辆拖离。2时22分事故车辆已拖离，收回摆放锥桶，道路恢复正常通行。
16,50:00.0,7,G85银昆高速上行线K1703+300M,1703300,财产损失事故,两车事故,0,0,0,800,无,晴,一般坡,隧道,尾随相撞,未与前方车辆保持安全距离,小型客车,小型货车,小型客车,干燥,防撞墙,"2020年3月1日13时50分上高桥隧管所接路过驾人员告知，上行线打堡寨2号隧道上行线K1703+300处发生一起两车追尾交通事故,我所当班人员于2020年3月1日14时00分赶赴事故现场，立即摆放安全警示锥桶，经对事故进行了解得知,由于驾驶员刘德培驾驶云AOA6W5车辆操作不当与前车云C5T269发生追尾事故，占用超车道，行车道正常通行，悦乐收费站至上高桥收费站之间，无人员伤亡、有路产损失，路产损失由云AOA6W5车辆造成，路面油污长3米、宽1.3米、共计3.9平方米。已上报监控中心、上报安全养护室（李剑、 钟生茂）。领导回复：由于车辆量较大，注意自身安全，协助交警部门处理事故。于2020年3月1日15时05分施救车辆到达事故现场进行施救，于2020年3月1日15时13分事故处理完毕，道路恢复正常通行。"
17,20:00.0,7,G85银昆高速上行线K1704+200M,1704200,财产损失事故,多车事故,0,0,0,700,无,晴,一般坡,隧道,尾随相撞,未与前方车辆保持安全距离,小型客车,小型客车,小型客车,干燥,防撞墙,"2020年3月1日12时20分上高桥隧管所接交警部门通知，上行线打堡寨2号隧道K1704+200处发生一起三车追尾交通事故,我所当班人员于2020年3月1日12时30分赶赴事故现场，立即摆放安全警示锥桶，经对事故进行了解得知,由于驾驶员冯玉银驾驶云A5ZY58车辆与前车云AT060B发生追尾事故、导致云AT060B车辆与云AG7J83追尾事故, 占用行车道，超车道正常通行，悦乐收费站至上高桥收费站之间，无人员伤亡、路产损失由云A5ZY58车辆造成，损坏电缆沟壁长1.7米、高0.5米。已上报监控中心、上报安全养护室（李剑、 钟生茂）。领导回复：由于车辆量较大，注意自身安全，协助交警部门处理事故。于2020年3月1日13时14分施救车辆到达事故现场进行施救，于2020年3月1日13时29分事故处理完毕，道路恢复正常通行。"
18,25:00.0,3,G85银昆高速下行线K1701+500M,1701500,轻微事故,单车事故,0,0,0,,01:35-02:14,阴,一般坡,隧道,同向刮擦,其他操作不当,小型客车,,,干燥,防撞墙,2020年3月4日01时25分上高桥隧管所当班人员接交警通知下行线隧道内发生交通事故，当班人员于01时32分赶赴现场，发现一辆车牌为云A0313H的轿车在下行线K1701+500处王家坪隧道内与隧道电缆沟壁发生刮擦，占用行车道，超车道正常通行，现场无人员受伤；当班人员立即摆放安全警示锥桶；因需要对该肇事车辆进行施救，于01时35分交警对下行线K1733+400北闸隧道入口处进行交通临时管制，同时关闭靖安收费站、上高桥收费站入口车道。肇事车辆长时占用车道，当班人员协同交警人员对该肇事车辆推移至隧道内应急车道加宽带内等待救援。于02时14分解除临时交通管制，车辆施救完毕，道路恢复正常通行。交通管制时长39分钟。
19,38:00.0,5,G85银昆高速下行线K1703+000M,1703000,轻微事故,两车事故,0,0,0,,无,阴,一般坡,隧道,尾随相撞,未与前方车辆保持安全距离,小型客车,小型客车,,干燥,防撞墙,2020年3月6日18时38分上高桥隧管所当班人员接交警通知下行线打堡寨1号隧道内发生一起交通事故，当班人员于18时48分到达现场，发现一辆车牌为云A3B7B9的被追尾轿车停靠在下行线K1703+000处，现场未发现追尾车辆，疑为肇事逃逸。后经询问云A3B7B9驾驶员黄国勇及交警证实，该事故是由于追尾车辆车速过快及操作不当造成的交通事故，此次事故未造成路产损失，占用行车道，超车道正常通行，现场无人员受伤；当班人员立即摆放安全警示锥桶，并上报监控中心及相关科室领导。该事故未造成路产损失，现场无人员受伤，拖车于19时17分到达现场，19时21分将事故车辆云A3B7B9拖离现场，我所人员于19时24分回收所有警示锥桶，恢复行车道正常通行撤离现场，该事故共计用时46分钟。
20,52:00.0,3,G85银昆高速上行线K1728+600M,1728600,轻微事故,单车事故,0,0,0,,无,晴,一般弯,桥梁,同向刮擦,疲劳驾驶,小型客车,,,干燥,防撞墙,2020年3月11日12时52分上高桥隧管所当班人员接交警通知上行线K1728附近发生一起交通事故，当班人员于13时15分到达现场，发现一辆车牌为云A9515学教练车停靠在上行线K1728+600处，经现场询问及交警证实云A9515学教练车由驾驶员巫剑驾驶，该事故是由于驾驶员疲劳驾驶造成的交通事故，此次事故未造成路产损失，占用行车道及应急车道，超车道正常通行，现场无人员受伤；当班人员立即摆放安全警示锥桶，并上报监控中心及相关科室领导。拖车于14时00分到达现场，14时05分将事故车辆云A9515学拖离现场，我所人员于14时10分回收所有警示锥桶，恢复行车道、应急车道正常通行撤离现场，该事故共计用时1小时18分钟。
21,03:00.0,4,G85银昆高速下行线K1703+800M,1703800,伤人事故,单车事故,0,0,1,10710,09:03-09:36,阴,一般坡,隧道,翻车,其他操作不当,小型客车,,,干燥,防撞墙,"2020年3月12日09时03分上高桥隧管所当班人员在上行线K1713+900接到交警通知：下行线打堡2号隧道内发生一起交通事故，当班巡查人员立即前往靖安收费站调头，于09时28分到达现场，发现一辆车牌为：云A8V7V9的一辆一型客车侧翻在下行线K1703+800处，占用超车道，路面污染严重，交警已通知北闸隧管所在下行线K1733+400处进行交通管制，现场一人轻伤，有路产损失。当班人员立即摆放安全警示锥桶，并上报监控中心及相关科室领导。此次事故造成路产损失：1.现场油污长4米，宽07米，共计2.8平方米。2.路面污染长43米，宽5米，共计215平方。3.电缆沟壁损坏长1.8米，高0.5米。4.隧道立面反光标识损坏长1.8米，高0.5米。5.防撞沙桶损坏1个。于09时35分我所当班人员同到达现场的保洁人员清理完毕K1703+800处行车道路面抛洒物并通知北闸隧管所解除下行线K1733+400处交通管制，静安收费站及上高桥收费站入口解除封闭（共计交通管制33分钟）,现场行车道可以缓慢通行。拖车于10时10分到达现场开始施救，保洁人员暂停清理，于10时20分拖车施救完毕，开始清理现场。于10时45分事故处理完毕，道路恢复正常通行，"
22,35:00.0,7,G85银昆高速下行线K1730+750M,1730750,财产损失事故,单车事故,0,0,0,,无,晴,平直,普通路段,碾压,其他操作不当,中型货车,,,干燥,无防护,2020年3月22日17时35分上高桥隧管所当班人员接到交警通知：上行线K1730+750处发生一起交通事故，当班巡查人员立即前往，于18时00分到达现场，发现一辆车牌为：云C1F646的一辆轻型自卸货车在上行线K1730+750处因操作不当压坏沟盖板，占用应急车道，路面有污染，交警已赶往现场，我所人员配合交警对行车道进行交通管制，现场无人员伤亡，有路产损失。当班人员立即摆放安全警示锥桶，并上报监控中心及相关科室领导。此次事故造成路产损失：.现场油污长2.3米，宽1.2米，共计2.76平方米。2.路面污染长8.7米，宽3米，共计26.1平方。3.沟盖板损坏31块。于19时40分事故处理完毕，道路恢复正常通行，事故处理共计用时2小时05分。
23,2020/3/24 15:09,2,银昆高速公路下行线唐家营隧道K1670+100,1670100,轻微事故,单车事故,0,0,0,610,无,晴,平直,隧道,撞固定物,疲劳驾驶,小型客车,,,干燥,防撞墙,2020年3月24日15时09分，当班负责人接交警电话通知，下行线唐家营隧道内K1670+100处发生一起单方肇事交通事故，当班人员15时12分赶到现场，交警部门已到现场，警示锥桶已摆放，一辆轿车（川A9D99M）因疲劳驾驶与左侧防撞挡墙发生碰撞，现场无人员伤亡，有路产损失，占用超车道，行车道可正常通行，当班人员立即上报相关科室及监控中心，并协助交警部门处理，15时28分施救车辆到达现场对事故车辆拖离，15时36分事故车辆已拖离，当班人员对现场垃圾清理，道路恢复正常通行。
24,00:00.0,6,G85银昆高速下行线K1722+000M,1722000,轻微事故,单车事故,0,0,0,,无,阴,一般弯,普通路段,翻车,其他操作不当,小型客车,,,潮湿,无防护,2020年3月28日22时00分上高桥隧管所当班人员接到交警通知：上行线K1722+000处发生一起交通事故，当班巡查人员立即前往，于22时15分到达现场，发现一辆车牌为：云A5N19D的一辆轿车在上行线K1722+000处，因驾驶员操作不当造成单方肇事交通事故，占用应急车道，交警已赶往现场，我所人员配合交警对该事故进行处置，现场无人员伤亡，无路产损失。于23时40分事故处理完毕，道路恢复正常通行，事故处理共计用时1小时40分。
25,2020/3/29 15:15,7,银昆高速公路上行线K1679+950,1679950,轻微事故,单车事故,0,0,0,2630,无,阴,平直,普通路段,撞固定物,疲劳驾驶,小型客车,,,干燥,其他防护设施,2020年3月29日15时15分，当班负责人接交警电话通知，上行线K1679+950处发生一起单方肇事交通事故，当班人员15时20分赶到现场摆放警示锥桶，交警部门已到现场处理，一辆轿车（云A3H5G0）因疲劳驾驶冲入右侧边坡，现场无人员伤亡，有路产损失，占用应急车道，行车道、超车道可正常通行，当班人员立即上报相关科室，通知路政部门，并协助交警部门处理，15时45分施救车辆到达现场对事故车辆拖离，15时52分事故车辆已拖离，路政部门未到现场，当班人员对现场垃圾清理，统计路产损失，收回摆放锥桶。
26,21:00.0,5,G85银昆高速上行线K1716+500M,1716500,伤人事故,两车事故,0,0,1,14550,无,阴,平直,普通路段,刮撞行人,其他,小型客车,小型客车,,干燥,无防护,2020年4月3日12时21分上高桥隧管所当班人员接到交警通知：上行线K1716+500处发生一起交通事故，当班人员于12时29分到达现场后，发现一辆车牌为：云AQ209T的一辆轿车在上行线K1716+500处，撞向一行人，占用超车道，行车道应急车道正常通行；现场无路产损失有一人受伤，经现场了解已经联系120急救中心。当班人员立即摆放好警示锥桶，并向驾驶员了解情况，该事故是由驾驶员（伍建18387082560）驾驶云C9R789面包车在应急车道停放，车上乘客下车后跑至超车道导致后方车辆（常建雄18387184183）驾驶云AQ209T车辆制动不及时撞向超车道行人。了解情况后当班人员立即上报安全养护室（李剑、钟生茂）并上报监控中心；中心领导要求做好自身防范，配合交警处理现场并做好图文资料收集；于12时50分120医护人员到达现场将伤员救走；于13时34分肇事车辆驶离现场道路恢复正常通行；该事故处理时长1小时13分。
27,2020/4/3 13:40,5,银昆高速公路下行线K1665+450,1665450,其他,单车事故,0,0,0,,无,阴,平直,桥梁,失火,自然灾害,大型货车,,,干燥,防撞墙,2020年4月03日13时40分，当班负责人接交警电话通知，下行线K1665+450处发生一起一辆货车自燃，当班人员14时10分赶到现场摆放警示锥桶，一辆货车（川R65517；川R3721挂）因刹车水不足导致轮胎自燃，现场无人员伤亡，现场消防部门已经扑灭明火，占用应急车道，行车道、超车道可正常通行，当班人员立即上报相关科室，通知路政部门，并协助交警部门处理，14时45分施救车辆到达现场对事故车辆维修，18时20分事故车辆已维修开走，路政部门未到现场，当班人员对现场路产损失统计，收回摆放锥桶。
28,2020/4/5 21:20,7,银昆高速公路下行线四方石隧道内K1666+180,1666180,其他,单车事故,0,0,0,,无,阴,连续下坡,隧道,失火,自然灾害,小型货车,,,干燥,其他防护设施,2020年4月05日21时20分，当班负责人接交警电话通知，下行线四方石隧道内K1666+180处发生一起一辆货车自燃，当班人员21时30分赶到现场摆放警示锥桶，一辆货车（贵CA095L）因刹车水不足导致轮胎自燃，现场无人员伤亡，现场消防部门已经扑灭明火，占用应急车道、行车道，超车道可正常通行，当班人员立即上报相关科室及监控中心，通知路政部门，并协助交警部门处理，22时45分施救车辆到达现场对事故车辆维修，02时05分事故车辆已维修拖走，路政部门未到现场，当班人员对现场路产损失统计，收回摆放锥桶。
29,46:00.0,2,G85银昆高速下行线K1728+300M,1728300,财产损失事故,单车事故,0,0,0,2810,15:13-16:00,阴,平直,桥梁,同向刮擦,其他操作不当,小型客车,,,干燥,防撞墙,2020年4月7日14时46分上高桥隧管所当班人员接到交警通知：下行线K1728+300处发生一起交通事故，于15时10分到达现场，经查看了解得知：车牌为云A383GY一型客轿车操作不当撞向挡墙造成事故，事故有路产损失，无人员伤亡，我所当班人员立即摆放安全警示锥桶，立即上报安全养护室李剑、钟生茂及上报监控中心，交警部门于2020年4月7日15时13分到达事故现场，拖车于2020年4月7日15时31分到达事故现场，路政于2020年4月7日15时44分到达事故现场，该事故造成路产损失有：1.路面垃圾长18米.宽1.3米；2.长15米、宽1米，路面垃圾共计38.4平方米；3、路面油污长2.2米、宽1.1米，共计2.42平方米；4.桥梁防撞墙长1米、宽0.1米，0.1平方米；5、桥梁轮廓标损坏一个。于2020年4月7日15时59分事故处理完毕，于2020年4月7日16时00分解除交通管制，道路恢复正常通行。
30,46:00.0,5,G85银昆高速上行线K1708+900M,1708900,财产损失事故,单车事故,0,0,0,1800,无,阴,一般弯,普通路段,同向刮擦,其他操作不当,大型货车,,,干燥,波形防撞护栏,2020年4月10日17时46分上高桥隧管所当班人员接到交警通知：上行线K1708+950处发生一起交通事故，上高桥隧管所当班人员接到交警通知于17时50分到达现场，经查看了解得知：车牌为云C24599四轴货车驾驶员操作不当撞向波形护栏造成事故，事故有路产损失，无人员伤亡，我所当班人员立即摆放安全警示锥桶，立即上报安全养护室李剑、钟生茂及上报监控中心，拖车于2020年4月10日20时05分到达事故现场，路政于2020年4月10日19时35分到达事故现场，该事故造成路产损失有：1. 路产损失立柱2根。2.路产损失半圆端头。3.路产损失防阻块5块于20时35分拖车拖离现场于20时40分恢复道路正常通行。
31,30:00.0,6,G85银昆高速上行线K1702+680M,1702680,轻微事故,两车事故,0,0,0,,无,阴,一般坡,隧道,尾随相撞,其他操作不当,小型客车,小型客车,,干燥,防撞墙,2020年4月11日12时10分上高桥隧管所当班人员接到交警通知：上行线K1708+950处发生一起交通事故，当班巡查人员立即前往，于12时30分到达现场，立即摆放锥桶警示，经查看：车牌为云C5M633轿车追尾前方轿车云CA2258，占用超车道，应急车道正常通行，无人员伤亡，无路产损失。到达现场摆放锥桶警示立即上报安全养护室钟生茂、李剑和监控中心报备。交警部门于12时37分到达现场，经交警处理两车于12时49分驶离事故现场，事故处理用时22分钟。
32,2020/4/14 10:50,2,银昆高速公路上行线小岩脚隧道出口K1677+900,1677900,轻微事故,两车事故,0,0,0,,无,晴,平直,桥梁,尾随相撞,未与前方车辆保持安全距离,大型货车,大型货车,,干燥,防撞墙,2020年11时40分上行线K1677+900处（小岩脚隧道上行线出口）发生一起两车追尾。（一辆五型货车车牌为甘D52698和一辆一辆五型货车车牌粤BCY519的货车发生追尾，现场无人员伤亡，无路产损失，因车流量较大，经跟交警商量两辆肇事车辆开往加宽车道前去处理。
